"Adaptability (适应力)","This Pokemon's moves that match one of its types have a same-type attack bonus (STAB) of 2 instead of 1.5.",
"Aerilate (飞行皮肤)","This Pokemon's Normal-type moves become Flying-type moves and have their power multiplied by 1.3. This effect comes after other effects that change a move's type, but before Ion Deluge and Electrify's effects.",
"Aftermath (诱爆)","If this Pokemon is knocked out with a contact move, that move's user loses 1/4 of its maximum HP, rounded down. If any active Pokemon has the Damp Ability, this effect is prevented.",
"Air Lock (气闸)","While this Pokemon is active, the effects of weather conditions are disabled.",
"Analytic (分析)","The power of this Pokemon's move is multiplied by 1.3 if it is the last to move in a turn. Does not affect Doom Desire and Future Sight.",
"Anger Point (愤怒穴位)","If this Pokemon, but not its substitute, is struck by a critical hit, its Attack is raised by 12 stages.",
"Anticipation (危险预知)","On switch-in, this Pokemon is alerted if any opposing Pokemon has an attack that is super effective against this Pokemon, or an OHKO move. This effect considers any move that deals direct damage as an attacking move of its respective type, Hidden Power counts as its determined type, and Judgment, Natural Gift, Techno Blast, and Weather Ball are considered Normal-type moves.",
"Arena Trap (沙穴)","Prevents adjacent opposing Pokemon from choosing to switch out unless they are airborne, are holding a Shed Shell, or are a Ghost type.",
"Aroma Veil (芳香幕)","This Pokemon and its allies cannot become affected by Attract, Disable, Encore, Heal Block, Taunt, or Torment.",
"Aura Break (气场破坏)","While this Pokemon is active, the effects of the Dark Aura and Fairy Aura Abilities are reversed, multiplying the power of Dark- and Fairy-type moves, respectively, by 3/4 instead of 1.33.",
"Bad Dreams (梦魇)","Causes adjacent opposing Pokemon to lose 1/8 of their maximum HP, rounded down, at the end of each turn if they are asleep.",
"Battle Armor (战斗盔甲)","This Pokemon cannot be struck by a critical hit.",
"Big Pecks (健壮胸肌)","Prevents other Pokemon from lowering this Pokemon's Defense stat stage.",
"Blaze (猛火)","When this Pokemon has 1/3 or less of its maximum HP, rounded down, its offensive stat is multiplied by 1.5 while using a Fire-type attack.",
"Bulletproof (防弹)","This Pokemon is immune to bullet moves.",
"Cheek Pouch (颊囊)","If this Pokemon eats a held Berry, it restores 1/3 of its maximum HP, rounded down, in addition to the Berry's effect. This effect can also activate after the effects of Bug Bite, Fling, and Pluck if the eaten Berry has an effect on this Pokemon.",
"Chlorophyll (叶绿素)","If Sunny Day is active, this Pokemon's Speed is doubled.",
"Clear Body (恒净之躯)","Prevents other Pokemon from lowering this Pokemon's stat stages.",
"Cloud Nine (无关天气)","While this Pokemon is active, the effects of weather conditions are disabled.",
"Color Change (变色)","This Pokemon's type changes to match the type of the last move that hit it, unless that type is already one of its types. This effect applies after all hits from a multi-hit move. This effect is prevented if the move had a secondary effect removed by the Sheer Force Ability.",
"Competitive (好胜)","This Pokemon's Special Attack is raised by 2 stages for each of its stat stages that is lowered by an opposing Pokemon.",
"Compound Eyes (复眼)","This Pokemon's moves have their accuracy multiplied by 1.3.",
"Contrary (唱反调)","If this Pokemon has a stat stage raised it is lowered instead, and vice versa.",
"Cursed Body (咒术之躯)","If this Pokemon is hit by an attack, there is a 30% chance that move gets disabled unless one of the attacker's moves is already disabled.",
"Cute Charm (迷人之躯)","There is a 30% chance a Pokemon making contact with this Pokemon will become infatuated if it is of the opposite gender.",
"Damp (湿气)","While this Pokemon is active, Explosion, Self-Destruct, and the Aftermath Ability are prevented from having an effect.",
"Dark Aura (暗黑气场)","While this Pokemon is active, the power of Dark-type moves used by active Pokemon is multiplied by 1.33.",
"Defeatist (软弱)","While this Pokemon has 1/2 or less of its maximum HP, its Attack and Special Attack are halved.",
"Defiant (不服输)","This Pokemon's Attack is raised by 2 stages for each of its stat stages that is lowered by an opposing Pokemon.",
"Delta Stream (德尔塔气流)","On switch-in, the weather becomes Delta Stream, which removes the weaknesses of the Flying type from Flying-type Pokemon. This weather remains in effect until this Ability is no longer active for any Pokemon, or the weather is changed by the Desolate Land or Primordial Sea Abilities.",
"Desolate Land (终结之地)","On switch-in, the weather becomes Desolate Land, which includes all the effects of Sunny Day and prevents damaging Water-type moves from executing. This weather remains in effect until this Ability is no longer active for any Pokemon, or the weather is changed by the Delta Stream or Primordial Sea Abilities.",
"Download (下载)","On switch-in, this Pokemon's Attack or Special Attack is raised by 1 stage based on the weaker combined defensive stat of all opposing Pokemon. Attack is raised if their Defense is lower, and Special Attack is raised if their Special Defense is the same or lower.",
"Drizzle (降雨)","On switch-in, this Pokemon summons Rain Dance.",
"Drought (日照)","On switch-in, this Pokemon summons Sunny Day.",
"Dry Skin (干燥皮肤)","This Pokemon is immune to Water-type moves and restores 1/4 of its maximum HP, rounded down, when hit by a Water-type move. The power of Fire-type moves is multiplied by 1.25 when used on this Pokemon. At the end of each turn, this Pokemon restores 1/8 of its maximum HP, rounded down, if the weather is Rain Dance, and loses 1/8 of its maximum HP, rounded down, if the weather is Sunny Day.",
"Early Bird (早起)","This Pokemon's sleep counter drops by 2 instead of 1.",
"Effect Spore (孢子)","30% chance a Pokemon making contact with this Pokemon will be poisoned, paralyzed, or fall asleep.",
"Fairy Aura (妖精气场)","While this Pokemon is active, the power of Fairy-type moves used by active Pokemon is multiplied by 1.33.",
"Filter (过滤)","This Pokemon receives 3/4 damage from supereffective attacks.",
"Flame Body (火焰之躯)","30% chance a Pokemon making contact with this Pokemon will be burned.",
"Flare Boost (受热激升)","While this Pokemon is burned, the power of its special attacks is multiplied by 1.5.",
"Flash Fire (引火)","This Pokemon is immune to Fire-type moves. The first time it is hit by a Fire-type move, its offensive stat is multiplied by 1.5 while using a Fire-type attack as long as it remains active and has this Ability. If this Pokemon is frozen, it cannot be defrosted by Fire-type attacks.",
"Flower Gift (花之礼)","If this Pokemon is a Cherrim and Sunny Day is active, it changes to Sunshine Form and the Attack and Special Defense of it and its allies are multiplied by 1.5.",
