1,"Bulbasaur","Grass","Poison",45,49,49,65,65,45,318,"Overgrow","","Chlorophyll","",
2,"Ivysaur","Grass","Poison",60,62,63,80,80,60,405,"Overgrow","","Chlorophyll","",
3,"Venusaur","Grass","Poison",80,82,83,100,100,80,525,"Overgrow","","Chlorophyll","",
4,"Charmander","Fire","",39,52,43,60,50,65,309,"Blaze","","Solar Power","",
5,"Charmeleon","Fire","",58,64,58,80,65,80,405,"Blaze","","Solar Power","",
6,"Charizard","Fire","Flying",78,84,78,109,85,100,534,"Blaze","","Solar Power","",
7,"Squirtle","Water","",44,48,65,50,64,43,314,"Torrent","","Rain Dish","",
8,"Wartortle","Water","",59,63,80,65,80,58,405,"Torrent","","Rain Dish","",
9,"Blastoise","Water","",79,83,100,85,105,78,530,"Torrent","","Rain Dish","",
10,"Caterpie","Bug","",45,30,35,20,20,45,195,"Shield Dust","","Run Away","",
11,"Metapod","Bug","",50,20,55,25,25,30,205,"Shed Skin","","","",
12,"Butterfree","Bug","Flying",60,45,50,80,80,70,385,"Compound Eyes","","Tinted Lens","",
13,"Weedle","Bug","Poison",40,35,30,20,20,50,195,"Shield Dust","","Run Away","",
14,"Kakuna","Bug","Poison",45,25,50,25,25,35,205,"Shed Skin","","","",
15,"Beedrill","Bug","Poison",65,80,40,45,80,75,385,"Swarm","","Sniper","",
16,"Pidgey","Normal","Flying",40,45,40,35,35,56,251,"Keen Eye","Tangled Feet","Big Pecks","",
17,"Pidgeotto","Normal","Flying",63,60,55,50,50,71,349,"Keen Eye","Tangled Feet","Big Pecks","",
18,"Pidgeot","Normal","Flying",83,80,75,70,70,91,469,"Keen Eye","Tangled Feet","Big Pecks","",
19,"Rattata","Normal","",30,56,35,25,35,72,253,"Run Away","Guts","Hustle","",
20,"Raticate","Normal","",55,81,60,50,70,97,413,"Run Away","Guts","Hustle","",
21,"Spearow","Normal","Flying",40,60,30,31,31,70,262,"Keen Eye","","Sniper","",
22,"Fearow","Normal","Flying",65,90,65,61,61,100,442,"Keen Eye","","Sniper","",
23,"Ekans","Poison","",35,60,44,40,54,55,288,"Intimidate","Shed Skin","Unnerve","",
24,"Arbok","Poison","",60,85,69,65,79,80,438,"Intimidate","Shed Skin","Unnerve","",
25,"Pikachu","Electric","",35,55,30,50,40,90,300,"Static","","Lightning Rod","",
26,"Raichu","Electric","",60,90,55,90,80,100,475,"Static","","Lightning Rod","",
27,"Sandshrew","Ground","",50,75,85,20,30,40,300,"Sand Veil","","Sand Rush","",
28,"Sandslash","Ground","",75,100,110,45,55,65,450,"Sand Veil","","Sand Rush","",
29,"Nidoran-F","Poison","",55,47,52,40,40,41,275,"Poison Point","Rivalry","Hustle","",
30,"Nidorina","Poison","",70,62,67,55,55,56,365,"Poison Point","Rivalry","Hustle","",
31,"Nidoqueen","Poison","Ground",90,82,87,75,85,76,495,"Poison Point","Rivalry","Sheer Force","",
32,"Nidoran-M","Poison","",46,57,40,40,40,50,273,"Poison Point","Rivalry","Hustle","",
33,"Nidorino","Poison","",61,72,57,55,55,65,365,"Poison Point","Rivalry","Hustle","",
34,"Nidoking","Poison","Ground",81,92,77,85,75,85,495,"Poison Point","Rivalry","Sheer Force","",
35,"Clefairy","Normal","",70,45,48,60,65,35,323,"Cute Charm","Magic Guard","Friend Guard","",
36,"Clefable","Normal","",95,70,73,85,90,60,473,"Cute Charm","Magic Guard","Unaware","",
37,"Vulpix","Fire","",38,41,40,50,65,65,299,"Flash Fire","","Drought","",
38,"Ninetales","Fire","",73,76,75,81,100,100,505,"Flash Fire","","Drought","",
39,"Jigglypuff","Normal","",115,45,20,45,25,20,270,"Cute Charm","","Friend Guard","",
40,"Wigglytuff","Normal","",140,70,45,75,50,45,425,"Cute Charm","","Frisk","",
41,"Zubat","Poison","Flying",40,45,35,30,40,55,245,"Inner Focus","","Infiltrator","",
42,"Golbat","Poison","Flying",75,80,70,65,75,90,455,"Inner Focus","","Infiltrator","",
43,"Oddish","Grass","Poison",45,50,55,75,65,30,320,"Chlorophyll","","Run Away","",
44,"Gloom","Grass","Poison",60,65,70,85,75,40,395,"Chlorophyll","","Stench","",
45,"Vileplume","Grass","Poison",75,80,85,100,90,50,480,"Chlorophyll","","Effect Spore","",
46,"Paras","Bug","Grass",35,70,55,45,55,25,285,"Effect Spore","Dry Skin","Damp","",
47,"Parasect","Bug","Grass",60,95,80,60,80,30,405,"Effect Spore","Dry Skin","Damp","",
48,"Venonat","Bug","Poison",60,55,50,40,55,45,305,"Compound Eyes","Tinted Lens","Run Away","",
49,"Venomoth","Bug","Poison",70,65,60,90,75,90,450,"Shield Dust","Tinted Lens","Wonder Skin","",
50,"Diglett","Ground","",10,55,25,35,45,95,265,"Sand Veil","Arena Trap","Sand Force","",
51,"Dugtrio","Ground","",35,80,50,50,70,120,405,"Sand Veil","Arena Trap","Sand Force","",
52,"Meowth","Normal","",40,45,35,40,40,90,290,"Pickup","Technician","Unnerve","",
53,"Persian","Normal","",65,70,60,65,65,115,440,"Limber","Technician","Unnerve","",
54,"Psyduck","Water","",50,52,48,65,50,55,320,"Damp","Cloud Nine","Swift Swim","",
55,"Golduck","Water","",80,82,78,95,80,85,500,"Damp","Cloud Nine","Swift Swim","",
56,"Mankey","Fighting","",40,80,35,35,45,70,305,"Vital Spirit","Anger Point","Defiant","",
57,"Primeape","Fighting","",65,105,60,60,70,95,455,"Vital Spirit","Anger Point","Defiant","",
58,"Growlithe","Fire","",55,70,45,70,50,60,350,"Intimidate","Flash Fire","Justified","",
59,"Arcanine","Fire","",90,110,80,100,80,95,555,"Intimidate","Flash Fire","Justified","",
60,"Poliwag","Water","",40,50,40,40,40,90,300,"Water Absorb","Damp","Swift Swim","",
61,"Poliwhirl","Water","",65,65,65,50,50,90,385,"Water Absorb","Damp","Swift Swim","",
62,"Poliwrath","Water","Fighting",90,85,95,70,90,70,500,"Water Absorb","Damp","Swift Swim","",
63,"Abra","Psychic","",25,20,15,105,55,90,310,"Synchronize","Inner Focus","Magic Guard","",
64,"Kadabra","Psychic","",40,35,30,120,70,105,400,"Synchronize","Inner Focus","Magic Guard","",
65,"Alakazam","Psychic","",55,50,45,135,85,120,490,"Synchronize","Inner Focus","Magic Guard","",
66,"Machop","Fighting","",70,80,50,35,35,35,305,"Guts","No Guard","Steadfast","",
67,"Machoke","Fighting","",80,100,70,50,60,45,405,"Guts","No Guard","Steadfast","",
