"10,000,000 Volt Thunderbolt","Electric","Special",195,true,1,0,"normal","Has a very high chance for a critical hit.",
"Absorb","Grass","Special",20,100,25,0,"normal","The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",
"Accelerock","Rock","Physical",40,100,20,1,"normal","No additional effect.",
"Acid","Poison","Special",40,100,30,0,"allAdjacentFoes","Has a 10% chance to lower the target's Special Defense by 1 stage.",
"Acid Armor","Poison","Status",0,true,20,0,"self","Raises the user's Defense by 2 stages.",
"Acid Downpour","Poison","Physical",1,true,1,0,"normal","Power is equal to the base move's Z-Power.",
"Acid Spray","Poison","Special",40,100,20,0,"normal","Has a 100% chance to lower the target's Special Defense by 2 stages.",
"Acrobatics","Flying","Physical",55,100,15,0,"any","Power doubles if the user has no held item.",
"Acupressure","Normal","Status",0,true,30,0,"adjacentAllyOrSelf","Raises a random stat by 2 stages as long as the stat is not already at stage 6. The user can choose to use this move on itself or an adjacent ally. Fails if no stat stage can be raised or if used on an ally with a substitute.",
"Aerial Ace","Flying","Physical",60,true,20,0,"any","This move does not check accuracy.",
"Aeroblast","Flying","Special",100,95,5,0,"any","Has a higher chance for a critical hit.",
"After You","Normal","Status",0,true,15,0,"normal","The target makes its move immediately after the user this turn, no matter the priority of its selected move. Fails if the target would have moved next anyway, or if the target already moved this turn.",
"Agility","Psychic","Status",0,true,30,0,"self","Raises the user's Speed by 2 stages.",
"Air Cutter","Flying","Special",60,95,25,0,"allAdjacentFoes","Has a higher chance for a critical hit.",
"Air Slash","Flying","Special",75,95,15,0,"any","Has a 30% chance to make the target flinch.",
"All-Out Pummeling","Fighting","Physical",1,true,1,0,"normal","Power is equal to the base move's Z-Power.",
"Ally Switch","Psychic","Status",0,true,15,2,"self","The user swaps positions with its ally. Fails if the user is the only Pokemon on its side.",
"Amnesia","Psychic","Status",0,true,20,0,"self","Raises the user's Special Defense by 2 stages.",
"Anchor Shot","Steel","Physical",80,100,20,0,"normal","Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field.",
"Ancient Power","Rock","Special",60,100,5,0,"normal","Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage.",
"Aqua Jet","Water","Physical",40,100,20,1,"normal","No additional effect.",
"Aqua Ring","Water","Status",0,true,20,0,"self","The user has 1/16 of its maximum HP, rounded down, restored at the end of each turn while it remains active. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down. If the user uses Baton Pass, the replacement will receive the healing effect.",
"Aqua Tail","Water","Physical",90,90,10,0,"normal","No additional effect.",
"Arm Thrust","Fighting","Physical",15,100,20,0,"normal","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",
