1,"Bulbasaur","Grass","Poison",45,49,49,65,65,45,318,"Overgrow","","Chlorophyll","",
2,"Ivysaur","Grass","Poison",60,62,63,80,80,60,405,"Overgrow","","Chlorophyll","",
3,"Venusaur","Grass","Poison",80,82,83,100,100,80,525,"Overgrow","","Chlorophyll","",
4,"Charmander","Fire","",39,52,43,60,50,65,309,"Blaze","","Solar Power","",
5,"Charmeleon","Fire","",58,64,58,80,65,80,405,"Blaze","","Solar Power","",
6,"Charizard","Fire","Flying",78,84,78,109,85,100,534,"Blaze","","Solar Power","",
7,"Squirtle","Water","",44,48,65,50,64,43,314,"Torrent","","Rain Dish","",
8,"Wartortle","Water","",59,63,80,65,80,58,405,"Torrent","","Rain Dish","",
9,"Blastoise","Water","",79,83,100,85,105,78,530,"Torrent","","Rain Dish","",
10,"Caterpie","Bug","",45,30,35,20,20,45,195,"Shield Dust","","Run Away","",
11,"Metapod","Bug","",50,20,55,25,25,30,205,"Shed Skin","","","",
12,"Butterfree","Bug","Flying",60,45,50,90,80,70,395,"Compound Eyes","","Tinted Lens","",
25,"Pikachu","Electric","",35,55,40,50,50,90,320,"Static","","Lightning Rod","",
25,"Pikachu-Original","Electric","",35,55,40,50,50,90,320,"Static","","Lightning Rod","",
25,"Pikachu-Hoenn","Electric","",35,55,40,50,50,90,320,"Static","","Lightning Rod","",
25,"Pikachu-Sinnoh","Electric","",35,55,40,50,50,90,320,"Static","","Lightning Rod","",
25,"Pikachu-Unova","Electric","",35,55,40,50,50,90,320,"Static","","Lightning Rod","",
25,"Pikachu-Kalos","Electric","",35,55,40,50,50,90,320,"Static","","Lightning Rod","",
25,"Pikachu-Alola","Electric","",35,55,40,50,50,90,320,"Static","","Lightning Rod","",
25,"Pikachu-Partner","Electric","",35,55,40,50,50,90,320,"Static","","Lightning Rod","",
25,"Pikachu-World","Electric","",35,55,40,50,50,90,320,"Static","","Lightning Rod","",
26,"Raichu","Electric","",60,90,55,90,80,110,485,"Static","","Lightning Rod","",
26,"Raichu-Alola","Electric","Psychic",60,85,50,95,85,110,485,"Surge Surfer","","","",
27,"Sandshrew","Ground","",50,75,85,20,30,40,300,"Sand Veil","","Sand Rush","",
27,"Sandshrew-Alola","Ice","Steel",50,75,90,10,35,40,300,"Snow Cloak","","Slush Rush","",
28,"Sandslash","Ground","",75,100,110,45,55,65,450,"Sand Veil","","Sand Rush","",
28,"Sandslash-Alola","Ice","Steel",75,100,120,25,65,65,450,"Snow Cloak","","Slush Rush","",
29,"Nidoran-F","Poison","",55,47,52,40,40,41,275,"Poison Point","Rivalry","Hustle","",
30,"Nidorina","Poison","",70,62,67,55,55,56,365,"Poison Point","Rivalry","Hustle","",
31,"Nidoqueen","Poison","Ground",90,92,87,75,85,76,505,"Poison Point","Rivalry","Sheer Force","",
32,"Nidoran-M","Poison","",46,57,40,40,40,50,273,"Poison Point","Rivalry","Hustle","",
33,"Nidorino","Poison","",61,72,57,55,55,65,365,"Poison Point","Rivalry","Hustle","",
34,"Nidoking","Poison","Ground",81,102,77,85,75,85,505,"Poison Point","Rivalry","Sheer Force","",
35,"Clefairy","Fairy","",70,45,48,60,65,35,323,"Cute Charm","Magic Guard","Friend Guard","",
36,"Clefable","Fairy","",95,70,73,95,90,60,483,"Cute Charm","Magic Guard","Unaware","",
37,"Vulpix","Fire","",38,41,40,50,65,65,299,"Flash Fire","","Drought","",
37,"Vulpix-Alola","Ice","",38,41,40,50,65,65,299,"Snow Cloak","","Snow Warning","",
38,"Ninetales","Fire","",73,76,75,81,100,100,505,"Flash Fire","","Drought","",
38,"Ninetales-Alola","Ice","Fairy",73,67,75,81,100,109,505,"Snow Cloak","","Snow Warning","",
39,"Jigglypuff","Normal","Fairy",115,45,20,45,25,20,270,"Cute Charm","Competitive","Friend Guard","",
40,"Wigglytuff","Normal","Fairy",140,70,45,85,50,45,435,"Cute Charm","Competitive","Frisk","",
41,"Zubat","Poison","Flying",40,45,35,30,40,55,245,"Inner Focus","","Infiltrator","",
42,"Golbat","Poison","Flying",75,80,70,65,75,90,455,"Inner Focus","","Infiltrator","",
43,"Oddish","Grass","Poison",45,50,55,75,65,30,320,"Chlorophyll","","Run Away","",
44,"Gloom","Grass","Poison",60,65,70,85,75,40,395,"Chlorophyll","","Stench","",
45,"Vileplume","Grass","Poison",75,80,85,110,90,50,490,"Chlorophyll","","Effect Spore","",
50,"Diglett","Ground","",10,55,25,35,45,95,265,"Sand Veil","Arena Trap","Sand Force","",
50,"Diglett-Alola","Ground","Steel",10,55,30,35,45,90,265,"Sand Veil","Tangling Hair","Sand Force","",
51,"Dugtrio","Ground","",35,100,50,50,70,120,425,"Sand Veil","Arena Trap","Sand Force","",
51,"Dugtrio-Alola","Ground","Steel",35,100,60,50,70,110,425,"Sand Veil","Tangling Hair","Sand Force","",
52,"Meowth","Normal","",40,45,35,40,40,90,290,"Pickup","Technician","Unnerve","",
52,"Meowth-Alola","Dark","",40,35,35,50,40,90,290,"Pickup","Technician","Rattled","",
52,"Meowth-Galar","Steel","",50,65,55,40,40,40,290,"Pickup","Tough Claws","Unnerve","",
53,"Persian","Normal","",65,70,60,65,65,115,440,"Limber","Technician","Unnerve","",
53,"Persian-Alola","Dark","",65,60,60,75,65,115,440,"Fur Coat","Technician","Rattled","",
54,"Psyduck","Water","",50,52,48,65,50,55,320,"Damp","Cloud Nine","Swift Swim","",
55,"Golduck","Water","",80,82,78,95,80,85,500,"Damp","Cloud Nine","Swift Swim","",
58,"Growlithe","Fire","",55,70,45,70,50,60,350,"Intimidate","Flash Fire","Justified","",
59,"Arcanine","Fire","",90,110,80,100,80,95,555,"Intimidate","Flash Fire","Justified","",
60,"Poliwag","Water","",40,50,40,40,40,90,300,"Water Absorb","Damp","Swift Swim","",
61,"Poliwhirl","Water","",65,65,65,50,50,90,385,"Water Absorb","Damp","Swift Swim","",
62,"Poliwrath","Water","Fighting",90,95,95,70,90,70,510,"Water Absorb","Damp","Swift Swim","",
63,"Abra","Psychic","",25,20,15,105,55,90,310,"Synchronize","Inner Focus","Magic Guard","",
64,"Kadabra","Psychic","",40,35,30,120,70,105,400,"Synchronize","Inner Focus","Magic Guard","",
65,"Alakazam","Psychic","",55,50,45,135,95,120,500,"Synchronize","Inner Focus","Magic Guard","",
66,"Machop","Fighting","",70,80,50,35,35,35,305,"Guts","No Guard","Steadfast","",
