"Aguav Berry (乐芭果)","Restores 1/8 max HP at 1/2 max HP or less; confuses if -SpD Nature. Single use.",
"Apicot Berry (杏仔果)","Raises holder's Sp. Def by 1 stage when at 1/4 max HP or less. Single use.",
"Aspear Berry (利木果)","Holder is cured if it is frozen. Single use.",
"Belue Berry (靛莓果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Black Belt (黑带)","Holder's Fighting-type attacks have 1.1x power.",
"Black Glasses (黑色眼镜)","Holder's Dark-type attacks have 1.1x power.",
"Bright Powder (光粉)","The accuracy of attacks against the holder is 0.9x.",
"Charcoal (木炭)","Holder's Fire-type attacks have 1.1x power.",
"Cheri Berry (樱子果)","Holder cures itself if it is paralyzed. Single use.",
"Chesto Berry (零余果)","Holder wakes up if it is asleep. Single use.",
"Choice Band (讲究头带)","Holder's Attack is 1.5x, but it can only select the first move it executes.",
"Claw Fossil (爪子化石)","Can be revived into Anorith.",
"Cornn Berry (玉黍果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Deep Sea Scale (深海鳞片)","If held by a Clamperl, its Sp. Def is doubled. Evolves Clamperl into Gorebyss when traded.",
"Deep Sea Tooth (深海之牙)","If held by a Clamperl, its Sp. Atk is doubled. Evolves Clamperl into Huntail when traded.",
"Dive Ball (潜水球)","A Poke Ball that works especially well on Pokemon that live underwater.",
"Dome Fossil (甲壳化石)","Can be revived into Kabuto.",
"Dragon Fang (龙之牙)","Holder's Dragon-type attacks have 1.1x power.",
"Dragon Scale (龙之鳞片)","Evolves Seadra into Kingdra when traded.",
"Durin Berry (金枕果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Figy Berry (勿花果)","Restores 1/8 max HP at 1/2 max HP or less; confuses if -Atk Nature. Single use.",
"Fire Stone (火之石)","Evolves Vulpix into Ninetales, Growlithe into Arcanine, Eevee into Flareon, and Pansear into Simisear when used.",
"Focus Band (气势头带)","Holder has a 10% chance to survive an attack that would KO it with 1 HP.",
"Friend Ball (友友球)","A Poke Ball that makes caught Pokemon more friendly.",
"Ganlon Berry (龙睛果)","Raises holder's Defense by 1 stage when at 1/4 max HP or less. Single use.",
"Great Ball (超级球)","A high-performance Ball that provides a higher catch rate than a Poke Ball.",
"Grepa Berry (萄葡果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Hard Stone (硬石头)","Holder's Rock-type attacks have 1.1x power.",
"Helix Fossil (贝壳化石)","Can be revived into Omanyte.",
"Hondew Berry (哈密果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Iapapa Berry (芭亚果)","Restores 1/8 max HP at 1/2 max HP or less; confuses if -Def Nature. Single use.",
"Kelpsy Berry (藻根果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"King's Rock (王者之证)","Holder's attacks without a chance to make the target flinch gain a 10% chance to make the target flinch. Evolves Poliwhirl into Politoed and Slowpoke into Slowking when traded.",
"Lansat Berry (兰萨果)","Holder gains the Focus Energy effect when at 1/4 max HP or less. Single use.",
"Lax Incense (悠闲薰香)","The accuracy of attacks against the holder is 0.95x.",
"Leaf Stone (叶之石)","Evolves Gloom into Vileplume, Weepinbell into Victreebel, Exeggcute into Exeggutor or Alolan Exeggutor, Nuzleaf into Shiftry, and Pansage into Simisage when used.",
"Leftovers (吃剩的东西)","At the end of every turn, holder restores 1/16 of its max HP.",
"Leppa Berry (苹野果)","Restores 10 PP to the first of the holder's moves to reach 0 PP. Single use.",
"Liechi Berry (枝荔果)","Raises holder's Attack by 1 stage when at 1/4 max HP or less. Single use.",
"Light Ball (电气球)","If held by a Pikachu, its Special Attack is doubled.",
"Lucky Punch (吉利拳)","If held by a Chansey, its critical hit ratio is raised by 2 stages.",
"Lum Berry (木子果)","Holder cures itself if it has a non-volatile status or is confused. Single use.",
"Luxury Ball (豪华球)","A comfortable Poke Ball that makes a caught wild Pokemon quickly grow friendly.",
"Macho Brace (强制锻炼器)","Holder's Speed is halved. The Klutz Ability does not ignore this effect.",
"Magnet (磁铁)","Holder's Electric-type attacks have 1.1x power.",
"Mago Berry (芒芒果)","Restores 1/8 max HP at 1/2 max HP or less; confuses if -Spe Nature. Single use.",
"Magost Berry (岳竹果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Mail","Cannot be given to or taken from a Pokemon, except by Covet/Knock Off/Thief.",
"Master Ball (大师球)","The best Ball with the ultimate performance. It will catch any wild Pokemon.",
"Mental Herb (心灵香草)","Holder is cured if it is infatuated. Single use.",
"Metal Coat (金属膜)","Holder's Steel-type attacks have 1.1x power. Evolves Onix into Steelix and Scyther into Scizor when traded.",
"Metal Powder (金属粉)","If held by a Ditto that hasn't Transformed, its Defense is doubled.",
"Miracle Seed (奇迹种子)","Holder's Grass-type attacks have 1.1x power.",
"Moon Stone (月之石)","Evolves Nidorina into Nidoqueen, Nidorino into Nidoking, Clefairy into Clefable, Jigglypuff into Wigglytuff, Skitty into Delcatty, and Munna into Musharna when used.",
"Mystic Water (神秘水滴)","Holder's Water-type attacks have 1.1x power.",
"Nanab Berry (蕉香果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Nest Ball (巢穴球)","A Poke Ball that works especially well on weaker Pokemon in the wild.",
"Net Ball (捕网球)","A Poke Ball that works especially well on Water- and Bug-type Pokemon.",
"Never-Melt Ice (不融冰)","Holder's Ice-type attacks have 1.1x power.",
"Nomel Berry (檬柠果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Old Amber (秘密琥珀)","Can be revived into Aerodactyl.",
"Oran Berry (橙橙果)","Restores 10 HP when at 1/2 max HP or less. Single use.",
"Pamtre Berry (椰木果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Pecha Berry (桃桃果)","Holder is cured if it is poisoned. Single use.",
"Persim Berry (柿仔果)","Holder is cured if it is confused. Single use.",
"Petaya Berry (龙火果)","Raises holder's Sp. Atk by 1 stage when at 1/4 max HP or less. Single use.",
"Poison Barb (毒针)","Holder's Poison-type attacks have 1.1x power.",
"Poke Ball (精灵球)","A device for catching wild Pokemon. It is designed as a capsule system.",
"Pomeg Berry (榴石果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Premier Ball (纪念球)","A rare Poke Ball that has been crafted to commemorate an event.",
"Qualot Berry (比巴果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Quick Claw (先制之爪)","Each turn, holder has a 20% chance to move first in its priority bracket.",
"Rabuta Berry (茸丹果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Rawst Berry (莓莓果)","Holder is cured if it is burned. Single use.",
"Razz Berry (蔓莓果)","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Repeat Ball (重复球)","A Poke Ball that works well on Pokemon species that were previously caught.",
"Root Fossil (根状化石)","Can be revived into Lileep.",
"Salac Berry (沙鳞果)","Raises holder's Speed by 1 stage when at 1/4 max HP or less. Single use.",
"Scope Lens (焦点镜)","Holder's critical hit ratio is raised by 1 stage.",
"Sea Incense (海潮薰香)","Holder's Water-type attacks have 1.05x power.",
"Sharp Beak (锐利鸟嘴)","Holder's Flying-type attacks have 1.1x power.",
"Shell Bell (贝壳之铃)","After an attack, holder gains 1/8 of the damage in HP dealt to other Pokemon.",
"Silk Scarf (丝绸围巾)","Holder's Normal-type attacks have 1.1x power.",
"Silver Powder (银粉)","Holder's Bug-type attacks have 1.1x power.",
