"Absorb","Grass","Special",20,100,20,0,"normal","The user recovers 1/2 the HP lost by the target, rounded down. If this move breaks the target's substitute, the user does not recover any HP.",
"Acid","Poison","Physical",40,100,30,0,"normal","Has a 33% chance to lower the target's Defense by 1 stage.",
"Acid Armor","Poison","Status",0,true,40,0,"self","Raises the user's Defense by 2 stages.",
"Agility","Psychic","Status",0,true,30,0,"self","Raises the user's Speed by 2 stages.",
"Amnesia","Psychic","Status",0,true,20,0,"self","Raises the user's Special by 2 stages.",
"Aurora Beam","Ice","Special",65,100,20,0,"normal","Has a 33% chance to lower the target's Attack by 1 stage.",
"Barrage","Normal","Physical",15,85,20,0,"normal","Hits two to five times. Has a 3/8 chance to hit two or three times, and a 1/8 chance to hit four or five times. Damage is calculated once for the first hit and used for every hit. If one of the hits breaks the target's substitute, the move ends.",
"Barrier","Psychic","Status",0,true,30,0,"self","Raises the user's Defense by 2 stages.",
"Bide","???","Physical",0,true,10,0,"self","The user spends two or three turns locked into this move and then, on the second or third turn after using this move, the user attacks the opponent, inflicting double the damage in HP it lost during those turns. This move ignores type immunity and cannot be avoided even if the target is using Dig or Fly. The user can choose to switch out during the effect. If the user switches out or is prevented from moving during this move's use, the effect ends. During the effect, if the opposing Pokemon switches out or uses Confuse Ray, Conversion, Focus Energy, Glare, Haze, Leech Seed, Light Screen, Mimic, Mist, Poison Gas, Poison Powder, Recover, Reflect, Rest, Soft-Boiled, Splash, Stun Spore, Substitute, Supersonic, Teleport, Thunder Wave, Toxic, or Transform, the previous damage dealt to the user will be added to the total.",
"Bind","Normal","Physical",15,75,20,0,"normal","The user spends two to five turns using this move. Has a 3/8 chance to last two or three turns, and a 1/8 chance to last four or five turns. The damage calculated for the first turn is used for every other turn. The user cannot select a move and the target cannot execute a move during the effect, but both may switch out. If the user switches out, the target remains unable to execute a move during that turn. If the target switches out, the user uses this move again automatically, and if it had 0 PP at the time, it becomes 63. If the user or the target switch out, or the user is prevented from moving, the effect ends. This move can prevent the target from moving even if it has type immunity, but will not deal damage.",
"Bite","Normal","Physical",60,100,25,0,"normal","Has a 10% chance to make the target flinch.",
"Blizzard","Ice","Special",120,90,5,0,"normal","Has a 10% chance to freeze the target.",
"Body Slam","Normal","Physical",85,100,15,0,"normal","Has a 30% chance to paralyze the target.",
"Bone Club","Ground","Physical",65,85,20,0,"normal","Has a 10% chance to make the target flinch.",
"Bonemerang","Ground","Physical",50,90,10,0,"normal","Hits twice. If the first hit breaks the target's substitute, the move ends.",
"Bubble","Water","Special",20,100,30,0,"normal","Has a 33% chance to lower the target's Speed by 1 stage.",
"Bubble Beam","Water","Special",65,100,20,0,"normal","Has a 33% chance to lower the target's Speed by 1 stage.",
"Clamp","Water","Special",35,75,10,0,"normal","The user spends two to five turns using this move. Has a 3/8 chance to last two or three turns, and a 1/8 chance to last four or five turns. The damage calculated for the first turn is used for every other turn. The user cannot select a move and the target cannot execute a move during the effect, but both may switch out. If the user switches out, the target remains unable to execute a move during that turn. If the target switches out, the user uses this move again automatically, and if it had 0 PP at the time, it becomes 63. If the user or the target switch out, or the user is prevented from moving, the effect ends. This move can prevent the target from moving even if it has type immunity, but will not deal damage.",
"Comet Punch","Normal","Physical",18,85,15,0,"normal","Hits two to five times. Has a 3/8 chance to hit two or three times, and a 1/8 chance to hit four or five times. Damage is calculated once for the first hit and used for every hit. If one of the hits breaks the target's substitute, the move ends.",
"Confuse Ray","Ghost","Status",0,100,10,0,"normal","Causes the target to become confused.",
"Confusion","Psychic","Special",50,100,25,0,"normal","Has a 10% chance to confuse the target.",
"Constrict","Normal","Physical",10,100,35,0,"normal","Has a 33% chance to lower the target's Speed by 1 stage.",
"Conversion","Normal","Status",0,true,30,0,"normal","Causes the user's types to become the same as the current types of the target.",
"Counter","Fighting","Physical",1,100,20,-1,"scripted","Deals damage to the opposing Pokemon equal to twice the damage dealt by the last move used in the battle. This move ignores type immunity. Fails if the user moves first, or if the opposing side's last move was Counter, had 0 power, or was not Normal or Fighting type. Fails if the last move used by either side did 0 damage and was not Confuse Ray, Conversion, Focus Energy, Glare, Haze, Leech Seed, Light Screen, Mimic, Mist, Poison Gas, Poison Powder, Recover, Reflect, Rest, Soft-Boiled, Splash, Stun Spore, Substitute, Supersonic, Teleport, Thunder Wave, Toxic, or Transform.",
"Crabhammer","Water","Special",90,85,10,0,"normal","Has a higher chance for a critical hit.",
"Cut","Normal","Physical",50,95,30,0,"normal","No additional effect.",
"Defense Curl","Normal","Status",0,true,40,0,"self","Raises the user's Defense by 1 stage.",
