"Abomasite","If held by an Abomasnow, this item allows it to Mega Evolve in battle.",
"Absolite","If held by an Absol, this item allows it to Mega Evolve in battle.",
"Absorb Bulb","Raises holder's Sp. Atk by 1 stage if hit by a Water-type attack. Single use.",
"Adamant Orb","If held by a Dialga, its Steel- and Dragon-type attacks have 1.2x power.",
"Adrenaline Orb","Raises holder's Speed by 1 stage if it gets affected by Intimidate. Single use.",
"Aerodactylite","If held by an Aerodactyl, this item allows it to Mega Evolve in battle.",
"Aggronite","If held by an Aggron, this item allows it to Mega Evolve in battle.",
"Aguav Berry","Restores 1/2 max HP at 1/4 max HP or less; confuses if -SpD Nature. Single use.",
"Air Balloon","Holder is immune to Ground-type attacks. Pops when holder is hit.",
"Alakazite","If held by an Alakazam, this item allows it to Mega Evolve in battle.",
"Aloraichium Z","If held by an Alolan Raichu with Thunderbolt, it can use Stoked Sparksurfer.",
"Altarianite","If held by an Altaria, this item allows it to Mega Evolve in battle.",
"Ampharosite","If held by an Ampharos, this item allows it to Mega Evolve in battle.",
"Apicot Berry","Raises holder's Sp. Def by 1 stage when at 1/4 max HP or less. Single use.",
"Armor Fossil","Can be revived into Shieldon.",
"Aspear Berry","Holder is cured if it is frozen. Single use.",
"Assault Vest","Holder's Sp. Def is 1.5x, but it can only select damaging moves.",
"Audinite","If held by an Audino, this item allows it to Mega Evolve in battle.",
"Babiri Berry","Halves damage taken from a supereffective Steel-type attack. Single use.",
"Banettite","If held by a Banette, this item allows it to Mega Evolve in battle.",
"Beast Ball","A special Poke Ball designed to catch Ultra Beasts.",
"Beedrillite","If held by a Beedrill, this item allows it to Mega Evolve in battle.",
"Berry Juice","Restores 20 HP when at 1/2 max HP or less. Single use.",
"Big Nugget","A big nugget of pure gold that gives off a lustrous gleam.",
"Big Root","Holder gains 1.3x HP from draining/Aqua Ring/Ingrain/Leech Seed/Strength Sap.",
"Binding Band","Holder's partial-trapping moves deal 1/6 max HP per turn instead of 1/8.",
"Black Belt","Holder's Fighting-type attacks have 1.2x power.",
"Black Glasses","Holder's Dark-type attacks have 1.2x power.",
"Black Sludge","Each turn, if holder is a Poison type, restores 1/16 max HP; loses 1/8 if not.",
"Blastoisinite","If held by a Blastoise, this item allows it to Mega Evolve in battle.",
"Blazikenite","If held by a Blaziken, this item allows it to Mega Evolve in battle.",
"Blue Orb","If held by a Kyogre, this item triggers its Primal Reversion in battle.",
"Bluk Berry","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Bottle Cap","Used for Hyper Training. One of a Pokemon's stats is calculated with an IV of 31.",
"Bright Powder","The accuracy of attacks against the holder is 0.9x.",
"Bug Memory","Holder's Multi-Attack is Bug type.",
"Buginium Z","If holder has a Bug move, this item allows it to use a Bug Z-Move.",
"Burn Drive","Holder's Techno Blast is Fire type.",
"Cameruptite","If held by a Camerupt, this item allows it to Mega Evolve in battle.",
"Cell Battery","Raises holder's Attack by 1 if hit by an Electric-type attack. Single use.",
"Charcoal","Holder's Fire-type attacks have 1.2x power.",
"Charizardite X","If held by a Charizard, this item allows it to Mega Evolve in battle.",
"Charizardite Y","If held by a Charizard, this item allows it to Mega Evolve in battle.",
"Charti Berry","Halves damage taken from a supereffective Rock-type attack. Single use.",
"Cheri Berry","Holder cures itself if it is paralyzed. Single use.",
"Chesto Berry","Holder wakes up if it is asleep. Single use.",
"Chilan Berry","Halves damage taken from a Normal-type attack. Single use.",
"Chill Drive","Holder's Techno Blast is Ice type.",
"Choice Band","Holder's Attack is 1.5x, but it can only select the first move it executes.",
"Choice Scarf","Holder's Speed is 1.5x, but it can only select the first move it executes.",
"Choice Specs","Holder's Sp. Atk is 1.5x, but it can only select the first move it executes.",
"Chople Berry","Halves damage taken from a supereffective Fighting-type attack. Single use.",
"Claw Fossil","Can be revived into Anorith.",
"Coba Berry","Halves damage taken from a supereffective Flying-type attack. Single use.",
"Colbur Berry","Halves damage taken from a supereffective Dark-type attack. Single use.",
