"Adaptability","This Pokemon's moves that match one of its types have a same-type attack bonus (STAB) of 2 instead of 1.5.",
"Aftermath","If this Pokemon is knocked out with a contact move, that move's user loses 1/4 of its maximum HP, rounded down. If any active Pokemon has the Damp Ability, this effect is prevented.",
"Air Lock","While this Pokemon is active, the effects of weather conditions are disabled.",
"Anger Point","If this Pokemon, or its substitute, is struck by a critical hit, its Attack is raised by 12 stages.",
"Anticipation","On switch-in, this Pokemon is alerted if any opposing Pokemon has an attack that is super effective against this Pokemon, or an OHKO move that this Pokemon is not immune to and if its level is less than or equal to the opposing Pokemon's level. This effect does not consider Counter, Dragon Rage, Metal Burst, Mirror Coat, Night Shade, Psywave, or Seismic Toss as attacking moves, and Hidden Power, Judgment, Natural Gift, and Weather Ball are considered Normal-type moves. This effect considers any changes to the effectiveness of attacks against this Pokemon due to the effects of Gravity or the Normalize or Scrappy Abilities.",
"Arena Trap","Prevents opposing Pokemon from choosing to switch out unless they are airborne or holding a Shed Shell.",
"Bad Dreams","Causes opposing Pokemon to lose 1/8 of their maximum HP, rounded down, at the end of each turn if they are asleep.",
"Battle Armor","This Pokemon cannot be struck by a critical hit.",
"Blaze","When this Pokemon has 1/3 or less of its maximum HP, rounded down, its Fire-type attacks have their power multiplied by 1.5.",
"Chlorophyll","If Sunny Day is active, this Pokemon's Speed is doubled.",
"Clear Body","Prevents other Pokemon from lowering this Pokemon's stat stages.",
"Cloud Nine","While this Pokemon is active, the effects of weather conditions are disabled.",
"Color Change","This Pokemon's type changes to match the type of the last move that hit it, unless that type is already one of its types. This effect applies after each hit from a multi-hit move. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Compound Eyes","This Pokemon's moves have their accuracy multiplied by 1.3.",
"Cute Charm","There is a 30% chance a Pokemon making contact with this Pokemon will become infatuated if it is of the opposite gender. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Damp","While this Pokemon is active, Explosion, Self-Destruct, and the Aftermath Ability are prevented from having an effect.",
"Download","On switch-in, this Pokemon's Attack or Special Attack is raised by 1 stage based on the weaker combined defensive stat of all opposing Pokemon. Attack is raised if their Defense is lower, and Special Attack is raised if their Special Defense is the same or lower.",
"Drizzle","On switch-in, this Pokemon summons Rain Dance.",
"Drought","On switch-in, this Pokemon summons Sunny Day.",
"Dry Skin","This Pokemon is immune to Water-type moves and restores 1/4 of its maximum HP, rounded down, when hit by a Water-type move. The power of Fire-type moves is multiplied by 1.25 when used on this Pokemon. At the end of each turn, this Pokemon restores 1/8 of its maximum HP, rounded down, if the weather is Rain Dance, and loses 1/8 of its maximum HP, rounded down, if the weather is Sunny Day.",
"Early Bird","This Pokemon's sleep counter drops by 2 instead of 1.",
"Effect Spore","30% chance a Pokemon making contact with this Pokemon will be poisoned, paralyzed, or fall asleep. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Filter","This Pokemon receives 3/4 damage from supereffective attacks.",
"Flame Body","30% chance a Pokemon making contact with this Pokemon will be burned. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Flash Fire","This Pokemon is immune to Fire-type moves, as long as it is not frozen. The first time it is hit by a Fire-type move, damage from its Fire-type attacks will be multiplied by 1.5 as long as it remains active and has this Ability.",
"Flower Gift","If Sunny Day is active, the Attack and Special Defense of this Pokemon and its allies are multiplied by 1.5.",
"Forecast","If this Pokemon is a Castform, its type changes to the current weather condition's type, except Sandstorm.",
"Forewarn","On switch-in, this Pokemon is alerted to the move with the highest power, at random, known by an opposing Pokemon. This effect considers OHKO moves to have 150 power, Counter, Mirror Coat, and Metal Burst to have 120 power, and every other attacking move with an unspecified power to have 80 power.",
"Frisk","On switch-in, this Pokemon identifies the held item of a random opposing Pokemon.",
"Gluttony","When this Pokemon is holding a Berry that usually activates with 1/4 or less of its maximum HP, it is eaten at 1/2 or less of its maximum HP instead.",
"Guts","If this Pokemon has a non-volatile status condition, its Attack is multiplied by 1.5. This Pokemon's physical attacks ignore the burn effect of halving damage.",
"Heatproof","The power of Fire-type attacks against this Pokemon is halved. This Pokemon takes half of the usual burn damage, rounded down.",
"Honey Gather","No competitive use.",
"Huge Power","This Pokemon's Attack is doubled.",
"Hustle","This Pokemon's Attack is multiplied by 1.5 and the accuracy of its physical attacks is multiplied by 0.8.",
"Hydration","This Pokemon has its non-volatile status condition cured at the end of each turn if Rain Dance is active.",
"Hyper Cutter","Prevents other Pokemon from lowering this Pokemon's Attack stat stage.",
"Ice Body","If Hail is active, this Pokemon restores 1/16 of its maximum HP, rounded down, at the end of each turn. This Pokemon takes no damage from Hail.",
"Illuminate","No competitive use.",
